,Feature Transform,model_type,C,no_of_features,CrossValDays,Confusion Matrices,AUC Scores,TN,FP,FN,TP,AUC Score,Min Leaves,Number of Neighbors,metric,weight,no_of_trees,min_leaves,Kernel
541,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[65, 90],
       [66, 79]]), array([[82, 64],
       [83, 71]]), array([[111,  54],
       [ 70,  65]]), array([[85, 64],
       [80, 71]]), array([[77, 87],
       [61, 75]]), array([[104,  73],
       [ 57,  66]]), array([[100,  55],
       [ 75,  70]]), array([[92, 56],
       [89, 63]]), array([[79, 82],
       [79, 60]]), array([[85, 86],
       [66, 63]])]","[0.504916573971079, 0.5422077922077922, 0.5914702581369249, 0.5579803546824303, 0.5578819942611191, 0.5635019062055027, 0.5820689655172414, 0.5347617354196301, 0.45788462397783636, 0.4727775511129244]","[65, 82, 111, 85, 77, 104, 100, 92, 79, 85]","[90, 64, 54, 64, 87, 73, 55, 56, 82, 86]","[66, 83, 70, 80, 61, 57, 75, 89, 79, 66]","[79, 71, 65, 71, 75, 66, 70, 63, 60, 63]",0.5365451755492481,,17.0,euclidean,distance,,,
542,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[69, 86],
       [68, 77]]), array([[83, 63],
       [83, 71]]), array([[104,  61],
       [ 71,  64]]), array([[87, 62],
       [83, 68]]), array([[74, 90],
       [57, 79]]), array([[101,  76],
       [ 65,  58]]), array([[98, 57],
       [83, 62]]), array([[94, 54],
       [92, 60]]), array([[77, 84],
       [83, 56]]), array([[86, 85],
       [69, 60]])]","[0.49855394883203563, 0.5435420743639923, 0.5820875420875422, 0.5449575536690519, 0.5532639885222381, 0.5450369757934868, 0.5664516129032259, 0.5364064722617354, 0.447428392689575, 0.476494854707829]","[69, 83, 104, 87, 74, 101, 98, 94, 77, 86]","[86, 63, 61, 62, 90, 76, 57, 54, 84, 85]","[68, 83, 71, 83, 57, 65, 83, 92, 83, 69]","[77, 71, 64, 68, 79, 58, 62, 60, 56, 60]",0.5294223415830712,,17.0,manhattan,distance,,,
543,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[65, 90],
       [66, 79]]), array([[82, 64],
       [83, 71]]), array([[111,  54],
       [ 70,  65]]), array([[85, 64],
       [80, 71]]), array([[77, 87],
       [61, 75]]), array([[104,  73],
       [ 57,  66]]), array([[100,  55],
       [ 75,  70]]), array([[92, 56],
       [89, 63]]), array([[79, 82],
       [79, 60]]), array([[85, 86],
       [66, 63]])]","[0.504916573971079, 0.5422077922077922, 0.5914702581369249, 0.5579803546824303, 0.5578819942611191, 0.5635019062055027, 0.5820689655172414, 0.5347617354196301, 0.45788462397783636, 0.4727775511129244]","[65, 82, 111, 85, 77, 104, 100, 92, 79, 85]","[90, 64, 54, 64, 87, 73, 55, 56, 82, 86]","[66, 83, 70, 80, 61, 57, 75, 89, 79, 66]","[79, 71, 65, 71, 75, 66, 70, 63, 60, 63]",0.5365451755492481,,17.0,minkowski,distance,,,
544,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[69, 86],
       [70, 75]]), array([[82, 64],
       [80, 74]]), array([[108,  57],
       [ 76,  59]]), array([[86, 63],
       [89, 62]]), array([[82, 82],
       [60, 76]]), array([[104,  73],
       [ 55,  68]]), array([[99, 56],
       [77, 68]]), array([[76, 72],
       [80, 72]]), array([[75, 86],
       [76, 63]]), array([[73, 98],
       [62, 67]])]","[0.49132369299221357, 0.525840597758406, 0.55679012345679, 0.5334903773501044, 0.560034074605452, 0.5647191217674888, 0.5603114571746384, 0.5093349928876245, 0.46351490236382326, 0.48479078834036]","[69, 82, 108, 86, 82, 104, 99, 76, 75, 73]","[86, 64, 57, 63, 82, 73, 56, 72, 86, 98]","[70, 80, 76, 89, 60, 55, 77, 80, 76, 62]","[75, 74, 59, 62, 76, 68, 68, 72, 63, 67]",0.5250150128696902,,19.0,euclidean,uniform,,,
545,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[66, 89],
       [69, 76]]), array([[85, 61],
       [85, 69]]), array([[110,  55],
       [ 71,  64]]), array([[91, 58],
       [81, 70]]), array([[82, 82],
       [57, 79]]), array([[102,  75],
       [ 62,  61]]), array([[100,  55],
       [ 78,  67]]), array([[88, 60],
       [89, 63]]), array([[75, 86],
       [75, 64]]), array([[75, 96],
       [65, 64]])]","[0.504182424916574, 0.5403175591531756, 0.5643771043771043, 0.5386239388417263, 0.5726327116212339, 0.5541316430113453, 0.5636929922135706, 0.5075124466571835, 0.4642298583493454, 0.4779228432839204]","[66, 85, 110, 91, 82, 102, 100, 88, 75, 75]","[89, 61, 55, 58, 82, 75, 55, 60, 86, 96]","[69, 85, 71, 81, 57, 62, 78, 89, 75, 65]","[76, 69, 64, 70, 79, 61, 67, 63, 64, 64]",0.528762352242518,,19.0,manhattan,uniform,,,
546,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[69, 86],
       [70, 75]]), array([[82, 64],
       [80, 74]]), array([[108,  57],
       [ 76,  59]]), array([[86, 63],
       [89, 62]]), array([[82, 82],
       [60, 76]]), array([[104,  73],
       [ 55,  68]]), array([[99, 56],
       [77, 68]]), array([[76, 72],
       [80, 72]]), array([[75, 86],
       [76, 63]]), array([[73, 98],
       [62, 67]])]","[0.49132369299221357, 0.525840597758406, 0.55679012345679, 0.5334903773501044, 0.560034074605452, 0.5647191217674888, 0.5603114571746384, 0.5093349928876245, 0.46351490236382326, 0.48479078834036]","[69, 82, 108, 86, 82, 104, 99, 76, 75, 73]","[86, 64, 57, 63, 82, 73, 56, 72, 86, 98]","[70, 80, 76, 89, 60, 55, 77, 80, 76, 62]","[75, 74, 59, 62, 76, 68, 68, 72, 63, 67]",0.5250150128696902,,19.0,minkowski,uniform,,,
547,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[68, 87],
       [71, 74]]), array([[83, 63],
       [82, 72]]), array([[109,  56],
       [ 71,  64]]), array([[87, 62],
       [84, 67]]), array([[81, 83],
       [61, 75]]), array([[103,  74],
       [ 60,  63]]), array([[102,  53],
       [ 75,  70]]), array([[92, 56],
       [86, 66]]), array([[76, 85],
       [78, 61]]), array([[86, 85],
       [67, 62]])]","[0.4945494994438265, 0.5461661626045188, 0.5827609427609428, 0.5372683230365793, 0.5585993543758967, 0.5697028156722245, 0.5803337041156841, 0.5360953058321479, 0.45734840698869483, 0.4800761593907249]","[68, 83, 109, 87, 81, 103, 102, 92, 76, 86]","[87, 63, 56, 62, 83, 74, 53, 56, 85, 85]","[71, 82, 71, 84, 61, 60, 75, 86, 78, 67]","[74, 72, 64, 67, 75, 63, 70, 66, 61, 62]",0.534290067422124,,19.0,euclidean,distance,,,
548,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[68, 87],
       [69, 76]]), array([[82, 64],
       [82, 72]]), array([[104,  61],
       [ 71,  64]]), array([[83, 66],
       [84, 67]]), array([[76, 88],
       [57, 79]]), array([[107,  70],
       [ 67,  56]]), array([[102,  53],
       [ 84,  61]]), array([[95, 53],
       [92, 60]]), array([[75, 86],
       [79, 60]]), array([[89, 82],
       [70, 59]])]","[0.49926585094549497, 0.5438534068671055, 0.5769696969696969, 0.5343348593270812, 0.562948350071736, 0.5589545725965733, 0.5751724137931034, 0.5315167140825036, 0.45466732204298677, 0.48166281336415984]","[68, 82, 104, 83, 76, 107, 102, 95, 75, 89]","[87, 64, 61, 66, 88, 70, 53, 53, 86, 82]","[69, 82, 71, 84, 57, 67, 84, 92, 79, 70]","[76, 72, 64, 67, 79, 56, 61, 60, 60, 59]",0.5319346000060441,,19.0,manhattan,distance,,,
549,,K Neighbors,,35,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[68, 87],
       [71, 74]]), array([[83, 63],
       [82, 72]]), array([[109,  56],
       [ 71,  64]]), array([[87, 62],
       [84, 67]]), array([[81, 83],
       [61, 75]]), array([[103,  74],
       [ 60,  63]]), array([[102,  53],
       [ 75,  70]]), array([[92, 56],
       [86, 66]]), array([[76, 85],
       [78, 61]]), array([[86, 85],
       [67, 62]])]","[0.4945494994438265, 0.5461661626045188, 0.5827609427609428, 0.5372683230365793, 0.5585993543758967, 0.5697028156722245, 0.5803337041156841, 0.5360953058321479, 0.45734840698869483, 0.4800761593907249]","[68, 83, 109, 87, 81, 103, 102, 92, 76, 86]","[87, 63, 56, 62, 83, 74, 53, 56, 85, 85]","[71, 82, 71, 84, 61, 60, 75, 86, 78, 67]","[74, 72, 64, 67, 75, 63, 70, 66, 61, 62]",0.534290067422124,,19.0,minkowski,distance,,,
550,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[72, 83],
       [64, 81]]), array([[75, 71],
       [73, 81]]), array([[98, 67],
       [63, 72]]), array([[76, 73],
       [66, 85]]), array([[88, 76],
       [59, 77]]), array([[96, 81],
       [59, 64]]), array([[98, 57],
       [71, 74]]), array([[99, 49],
       [85, 67]]), array([[87, 74],
       [75, 64]]), array([[93, 78],
       [69, 60]])]","[0.5115684093437152, 0.5198363280555062, 0.5636363636363636, 0.5364905106893639, 0.5513809182209469, 0.5313490423039824, 0.5713014460511681, 0.5548541963015647, 0.5004021627418562, 0.5044879640962873]","[72, 75, 98, 76, 88, 96, 98, 99, 87, 93]","[83, 71, 67, 73, 76, 81, 57, 49, 74, 78]","[64, 73, 63, 66, 59, 59, 71, 85, 75, 69]","[81, 81, 72, 85, 77, 64, 74, 67, 64, 60]",0.5345307341440754,,1.0,euclidean,uniform,,,
551,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[75, 80],
       [63, 82]]), array([[76, 70],
       [73, 81]]), array([[100,  65],
       [ 62,  73]]), array([[78, 71],
       [70, 81]]), array([[89, 75],
       [55, 81]]), array([[103,  74],
       [ 58,  65]]), array([[105,  50],
       [ 73,  72]]), array([[106,  42],
       [ 88,  64]]), array([[94, 67],
       [75, 64]]), array([[93, 78],
       [66, 63]])]","[0.5246941045606229, 0.5232609855897528, 0.5734006734006735, 0.5299568869727542, 0.569135581061693, 0.5551880942538239, 0.5869855394883204, 0.5686344238975818, 0.5221412931766388, 0.5161158710730315]","[75, 76, 100, 78, 89, 103, 105, 106, 94, 93]","[80, 70, 65, 71, 75, 74, 50, 42, 67, 78]","[63, 73, 62, 70, 55, 58, 73, 88, 75, 66]","[82, 81, 73, 81, 81, 65, 72, 64, 64, 63]",0.5469513453474893,,1.0,manhattan,uniform,,,
552,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[72, 83],
       [64, 81]]), array([[75, 71],
       [73, 81]]), array([[98, 67],
       [63, 72]]), array([[76, 73],
       [66, 85]]), array([[88, 76],
       [59, 77]]), array([[96, 81],
       [59, 64]]), array([[98, 57],
       [71, 74]]), array([[99, 49],
       [85, 67]]), array([[87, 74],
       [75, 64]]), array([[93, 78],
       [69, 60]])]","[0.5115684093437152, 0.5198363280555062, 0.5636363636363636, 0.5364905106893639, 0.5513809182209469, 0.5313490423039824, 0.5713014460511681, 0.5548541963015647, 0.5004021627418562, 0.5044879640962873]","[72, 75, 98, 76, 88, 96, 98, 99, 87, 93]","[83, 71, 67, 73, 76, 81, 57, 49, 74, 78]","[64, 73, 63, 66, 59, 59, 71, 85, 75, 69]","[81, 81, 72, 85, 77, 64, 74, 67, 64, 60]",0.5345307341440754,,1.0,minkowski,uniform,,,
553,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[72, 83],
       [64, 81]]), array([[75, 71],
       [73, 81]]), array([[98, 67],
       [63, 72]]), array([[76, 73],
       [66, 85]]), array([[88, 76],
       [59, 77]]), array([[96, 81],
       [59, 64]]), array([[98, 57],
       [71, 74]]), array([[99, 49],
       [85, 67]]), array([[87, 74],
       [75, 64]]), array([[93, 78],
       [69, 60]])]","[0.5115684093437152, 0.5198363280555062, 0.5636363636363636, 0.5364905106893639, 0.5513809182209469, 0.5313490423039824, 0.5713014460511681, 0.5548541963015647, 0.5004021627418562, 0.5044879640962873]","[72, 75, 98, 76, 88, 96, 98, 99, 87, 93]","[83, 71, 67, 73, 76, 81, 57, 49, 74, 78]","[64, 73, 63, 66, 59, 59, 71, 85, 75, 69]","[81, 81, 72, 85, 77, 64, 74, 67, 64, 60]",0.5345307341440754,,1.0,euclidean,distance,,,
554,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[75, 80],
       [63, 82]]), array([[76, 70],
       [73, 81]]), array([[100,  65],
       [ 62,  73]]), array([[78, 71],
       [70, 81]]), array([[89, 75],
       [55, 81]]), array([[103,  74],
       [ 58,  65]]), array([[105,  50],
       [ 73,  72]]), array([[106,  42],
       [ 88,  64]]), array([[94, 67],
       [75, 64]]), array([[93, 78],
       [66, 63]])]","[0.5246941045606229, 0.5232609855897528, 0.5734006734006735, 0.5299568869727542, 0.569135581061693, 0.5551880942538239, 0.5869855394883204, 0.5686344238975818, 0.5221412931766388, 0.5161158710730315]","[75, 76, 100, 78, 89, 103, 105, 106, 94, 93]","[80, 70, 65, 71, 75, 74, 50, 42, 67, 78]","[63, 73, 62, 70, 55, 58, 73, 88, 75, 66]","[82, 81, 73, 81, 81, 65, 72, 64, 64, 63]",0.5469513453474893,,1.0,manhattan,distance,,,
555,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[72, 83],
       [64, 81]]), array([[75, 71],
       [73, 81]]), array([[98, 67],
       [63, 72]]), array([[76, 73],
       [66, 85]]), array([[88, 76],
       [59, 77]]), array([[96, 81],
       [59, 64]]), array([[98, 57],
       [71, 74]]), array([[99, 49],
       [85, 67]]), array([[87, 74],
       [75, 64]]), array([[93, 78],
       [69, 60]])]","[0.5115684093437152, 0.5198363280555062, 0.5636363636363636, 0.5364905106893639, 0.5513809182209469, 0.5313490423039824, 0.5713014460511681, 0.5548541963015647, 0.5004021627418562, 0.5044879640962873]","[72, 75, 98, 76, 88, 96, 98, 99, 87, 93]","[83, 71, 67, 73, 76, 81, 57, 49, 74, 78]","[64, 73, 63, 66, 59, 59, 71, 85, 75, 69]","[81, 81, 72, 85, 77, 64, 74, 67, 64, 60]",0.5345307341440754,,1.0,minkowski,distance,,,
556,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[71, 84],
       [72, 73]]), array([[86, 60],
       [83, 71]]), array([[104,  61],
       [ 66,  69]]), array([[82, 67],
       [72, 79]]), array([[81, 83],
       [52, 84]]), array([[91, 86],
       [52, 71]]), array([[98, 57],
       [72, 73]]), array([[98, 50],
       [90, 62]]), array([[86, 75],
       [84, 55]]), array([[89, 82],
       [70, 59]])]","[0.4659399332591768, 0.5270192136630493, 0.5899214365881033, 0.561336059380417, 0.5917772596843616, 0.5615038353773367, 0.5931701890989989, 0.5607219061166429, 0.4753116761249385, 0.49655469422911286]","[71, 86, 104, 82, 81, 91, 98, 98, 86, 89]","[84, 60, 61, 67, 83, 86, 57, 50, 75, 82]","[72, 83, 66, 72, 52, 52, 72, 90, 84, 70]","[73, 71, 69, 79, 84, 71, 73, 62, 55, 59]",0.5423256203522138,,3.0,euclidean,uniform,,,
557,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[76, 79],
       [73, 72]]), array([[84, 62],
       [82, 72]]), array([[96, 69],
       [66, 69]]), array([[82, 67],
       [72, 79]]), array([[76, 88],
       [54, 82]]), array([[95, 82],
       [54, 69]]), array([[99, 56],
       [73, 72]]), array([[94, 54],
       [87, 65]]), array([[82, 79],
       [82, 57]]), array([[96, 75],
       [67, 62]])]","[0.48567296996662956, 0.5297544920832592, 0.5537373737373736, 0.5476465620694253, 0.5847829985652797, 0.5696568830095081, 0.5912124582869855, 0.5592549786628733, 0.47166986907368524, 0.5218278253773969]","[76, 84, 96, 82, 76, 95, 99, 94, 82, 96]","[79, 62, 69, 67, 88, 82, 56, 54, 79, 75]","[73, 82, 66, 72, 54, 54, 73, 87, 82, 67]","[72, 72, 69, 79, 82, 69, 72, 65, 57, 62]",0.5415216410832417,,3.0,manhattan,uniform,,,
558,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[71, 84],
       [72, 73]]), array([[86, 60],
       [83, 71]]), array([[104,  61],
       [ 66,  69]]), array([[82, 67],
       [72, 79]]), array([[81, 83],
       [52, 84]]), array([[91, 86],
       [52, 71]]), array([[98, 57],
       [72, 73]]), array([[98, 50],
       [90, 62]]), array([[86, 75],
       [84, 55]]), array([[89, 82],
       [70, 59]])]","[0.4659399332591768, 0.5270192136630493, 0.5899214365881033, 0.561336059380417, 0.5917772596843616, 0.5615038353773367, 0.5931701890989989, 0.5607219061166429, 0.4753116761249385, 0.49655469422911286]","[71, 86, 104, 82, 81, 91, 98, 98, 86, 89]","[84, 60, 61, 67, 83, 86, 57, 50, 75, 82]","[72, 83, 66, 72, 52, 52, 72, 90, 84, 70]","[73, 71, 69, 79, 84, 71, 73, 62, 55, 59]",0.5423256203522138,,3.0,minkowski,uniform,,,
559,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[73, 82],
       [72, 73]]), array([[83, 63],
       [83, 71]]), array([[103,  62],
       [ 67,  68]]), array([[79, 70],
       [73, 78]]), array([[81, 83],
       [52, 84]]), array([[94, 83],
       [52, 71]]), array([[98, 57],
       [74, 71]]), array([[96, 52],
       [91, 61]]), array([[89, 72],
       [82, 57]]), array([[94, 77],
       [68, 61]])]","[0.48605116796440495, 0.5298879202988792, 0.5917396184062851, 0.5522467665229567, 0.588011119081779, 0.5714712231868081, 0.5986206896551725, 0.5693234352773826, 0.48353366995844316, 0.5091119271045832]","[73, 83, 103, 79, 81, 94, 98, 96, 89, 94]","[82, 63, 62, 70, 83, 83, 57, 52, 72, 77]","[72, 83, 67, 73, 52, 52, 74, 91, 82, 68]","[73, 71, 68, 78, 84, 71, 71, 61, 57, 61]",0.5479997537456694,,3.0,euclidean,distance,,,
560,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[77, 78],
       [73, 72]]), array([[81, 65],
       [81, 73]]), array([[94, 71],
       [67, 68]]), array([[80, 69],
       [72, 79]]), array([[74, 90],
       [54, 82]]), array([[98, 79],
       [56, 67]]), array([[99, 56],
       [77, 68]]), array([[95, 53],
       [89, 63]]), array([[87, 74],
       [80, 59]]), array([[99, 72],
       [64, 65]])]","[0.49548387096774194, 0.5234166518413094, 0.5682603815937148, 0.5471132050313348, 0.5831016857962696, 0.5781544256120528, 0.5918576195773081, 0.565478307254623, 0.485812592162295, 0.5284237726098192]","[77, 81, 94, 80, 74, 98, 99, 95, 87, 99]","[78, 65, 71, 69, 90, 79, 56, 53, 74, 72]","[73, 81, 67, 72, 54, 56, 77, 89, 80, 64]","[72, 73, 68, 79, 82, 67, 68, 63, 59, 65]",0.5467102512446469,,3.0,manhattan,distance,,,
561,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[73, 82],
       [72, 73]]), array([[83, 63],
       [83, 71]]), array([[103,  62],
       [ 67,  68]]), array([[79, 70],
       [73, 78]]), array([[81, 83],
       [52, 84]]), array([[94, 83],
       [52, 71]]), array([[98, 57],
       [74, 71]]), array([[96, 52],
       [91, 61]]), array([[89, 72],
       [82, 57]]), array([[94, 77],
       [68, 61]])]","[0.48605116796440495, 0.5298879202988792, 0.5917396184062851, 0.5522467665229567, 0.588011119081779, 0.5714712231868081, 0.5986206896551725, 0.5693234352773826, 0.48353366995844316, 0.5091119271045832]","[73, 83, 103, 79, 81, 94, 98, 96, 89, 94]","[82, 63, 62, 70, 83, 83, 57, 52, 72, 77]","[72, 83, 67, 73, 52, 52, 74, 91, 82, 68]","[73, 71, 68, 78, 84, 71, 71, 61, 57, 61]",0.5479997537456694,,3.0,minkowski,distance,,,
562,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[78, 77],
       [77, 68]]), array([[88, 58],
       [87, 67]]), array([[100,  65],
       [ 69,  66]]), array([[78, 71],
       [73, 78]]), array([[81, 83],
       [51, 85]]), array([[97, 80],
       [57, 66]]), array([[96, 59],
       [71, 74]]), array([[99, 49],
       [90, 62]]), array([[84, 77],
       [86, 53]]), array([[95, 76],
       [74, 55]])]","[0.4877864293659622, 0.5437866927592955, 0.5732884399551066, 0.5565580692475222, 0.5919117647058825, 0.5555096228928391, 0.567853170189099, 0.5234041607396871, 0.45325975244648997, 0.48710276984450795]","[78, 88, 100, 78, 81, 97, 96, 99, 84, 95]","[77, 58, 65, 71, 83, 80, 59, 49, 77, 76]","[77, 87, 69, 73, 51, 57, 71, 90, 86, 74]","[68, 67, 66, 78, 85, 66, 74, 62, 53, 55]",0.5340460872146393,,5.0,euclidean,uniform,,,
563,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[84, 71],
       [77, 68]]), array([[86, 60],
       [86, 68]]), array([[100,  65],
       [ 68,  67]]), array([[86, 63],
       [77, 74]]), array([[80, 84],
       [51, 85]]), array([[102,  75],
       [ 55,  68]]), array([[96, 59],
       [73, 72]]), array([[102,  46],
       [ 92,  60]]), array([[88, 73],
       [83, 56]]), array([[101,  70],
       [ 74,  55]])]","[0.49016685205784205, 0.5258850738302794, 0.5552413019079686, 0.5363793946397618, 0.5683285509325682, 0.5562445454963024, 0.5703670745272524, 0.537851173541963, 0.4670226551677913, 0.5038533025069133]","[84, 86, 100, 86, 80, 102, 96, 102, 88, 101]","[71, 60, 65, 63, 84, 75, 59, 46, 73, 70]","[77, 86, 68, 77, 51, 55, 73, 92, 83, 74]","[68, 68, 67, 74, 85, 68, 72, 60, 56, 55]",0.5311339924608642,,5.0,manhattan,uniform,,,
564,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[78, 77],
       [77, 68]]), array([[88, 58],
       [87, 67]]), array([[100,  65],
       [ 69,  66]]), array([[78, 71],
       [73, 78]]), array([[81, 83],
       [51, 85]]), array([[97, 80],
       [57, 66]]), array([[96, 59],
       [71, 74]]), array([[99, 49],
       [90, 62]]), array([[84, 77],
       [86, 53]]), array([[95, 76],
       [74, 55]])]","[0.4877864293659622, 0.5437866927592955, 0.5732884399551066, 0.5565580692475222, 0.5919117647058825, 0.5555096228928391, 0.567853170189099, 0.5234041607396871, 0.45325975244648997, 0.48710276984450795]","[78, 88, 100, 78, 81, 97, 96, 99, 84, 95]","[77, 58, 65, 71, 83, 80, 59, 49, 77, 76]","[77, 87, 69, 73, 51, 57, 71, 90, 86, 74]","[68, 67, 66, 78, 85, 66, 74, 62, 53, 55]",0.5340460872146393,,5.0,minkowski,uniform,,,
565,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[77, 78],
       [75, 70]]), array([[89, 57],
       [87, 67]]), array([[99, 66],
       [70, 65]]), array([[75, 74],
       [74, 77]]), array([[82, 82],
       [53, 83]]), array([[98, 79],
       [54, 69]]), array([[98, 57],
       [72, 73]]), array([[97, 51],
       [93, 59]]), array([[91, 70],
       [81, 58]]), array([[96, 75],
       [72, 57]])]","[0.4916796440489432, 0.5519035758761786, 0.5868013468013468, 0.5520912040535135, 0.5929205523672885, 0.5676588121813422, 0.5764627363737486, 0.5357396870554765, 0.4700388757317127, 0.4961693639784215]","[77, 89, 99, 75, 82, 98, 98, 97, 91, 96]","[78, 57, 66, 74, 82, 79, 57, 51, 70, 75]","[75, 87, 70, 74, 53, 54, 72, 93, 81, 72]","[70, 67, 65, 77, 83, 69, 73, 59, 58, 57]",0.5421465798467973,,5.0,euclidean,distance,,,
566,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[85, 70],
       [76, 69]]), array([[84, 62],
       [84, 70]]), array([[98, 67],
       [67, 68]]), array([[84, 65],
       [76, 75]]), array([[81, 83],
       [52, 84]]), array([[100,  77],
       [ 53,  70]]), array([[94, 61],
       [79, 66]]), array([[101,  47],
       [ 93,  59]]), array([[90, 71],
       [79, 60]]), array([[102,  69],
       [ 68,  61]])]","[0.4939933259176863, 0.5222825120085394, 0.5642424242424242, 0.5311791635183786, 0.5751434720229556, 0.5690827247255523, 0.5746384872080088, 0.5425631223328592, 0.47229545556101693, 0.5129425631261616]","[85, 84, 98, 84, 81, 100, 94, 101, 90, 102]","[70, 62, 67, 65, 83, 77, 61, 47, 71, 69]","[76, 84, 67, 76, 52, 53, 79, 93, 79, 68]","[69, 70, 68, 75, 84, 70, 66, 59, 60, 61]",0.5358363250663583,,5.0,manhattan,distance,,,
567,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[77, 78],
       [75, 70]]), array([[89, 57],
       [87, 67]]), array([[99, 66],
       [70, 65]]), array([[75, 74],
       [74, 77]]), array([[82, 82],
       [53, 83]]), array([[98, 79],
       [54, 69]]), array([[98, 57],
       [72, 73]]), array([[97, 51],
       [93, 59]]), array([[91, 70],
       [81, 58]]), array([[96, 75],
       [72, 57]])]","[0.4916796440489432, 0.5519035758761786, 0.5868013468013468, 0.5520912040535135, 0.5929205523672885, 0.5676588121813422, 0.5764627363737486, 0.5357396870554765, 0.4700388757317127, 0.4961693639784215]","[77, 89, 99, 75, 82, 98, 98, 97, 91, 96]","[78, 57, 66, 74, 82, 79, 57, 51, 70, 75]","[75, 87, 70, 74, 53, 54, 72, 93, 81, 72]","[70, 67, 65, 77, 83, 69, 73, 59, 58, 57]",0.5421465798467973,,5.0,minkowski,distance,,,
568,,K Neighbors,,40,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[78, 77],
       [70, 75]]), array([[86, 60],
       [87, 67]]), array([[104,  61],
       [ 70,  65]]), array([[86, 63],
       [80, 71]]), array([[72, 92],
       [54, 82]]), array([[97, 80],
       [57, 66]]), array([[92, 63],
       [82, 63]]), array([[102,  46],
       [ 89,  63]]), array([[87, 74],
       [84, 55]]), array([[88, 83],
       [74, 55]])]","[0.5095661846496107, 0.5458548301014055, 0.5665095398428732, 0.5619583092581892, 0.5671180057388809, 0.5626751182766065, 0.5470300333704116, 0.5475195590327169, 0.4774342017069574, 0.47712951629720296]","[78, 86, 104, 86, 72, 97, 92, 102, 87, 88]","[77, 60, 61, 63, 92, 80, 63, 46, 74, 83]","[70, 87, 70, 80, 54, 57, 82, 89, 84, 74]","[75, 67, 65, 71, 82, 66, 63, 63, 55, 55]",0.5362795298274855,,7.0,euclidean,uniform,,,
